Geneid	Length	pm_1_cyto	pm_2_cyto	pm_3_cyto	pp_1	pp_1_cyto	pp_2	pp_2_cyto	pp_3	pp_3_cyto
NDUFB4P8	367	0	0	0	0	2	1	0	3	0
CCNL2	6842	507	506	320	259	759	228	372	239	318
MRPL20-AS1	2532	58	79	63	44	254	38	64	35	53
MRPL20	2767	3558	3165	1635	2113	881	2701	2309	1958	1956
RN7SL657P	293	0	0	0	0	0	0	0	0	0
MRPL20-DT	1523	13	7	5	4	36	4	14	0	16
ANKRD65	2644	0	0	2	1	0	3	0	2	1
ENSG00000225905	543	0	1	0	2	1	1	0	0	0
TMEM88B	3217	4	2	1	4	5	0	0	0	1
LINC01770	851	4	5	4	13	6	19	2	8	4
VWA1	5065	50	57	32	41	106	44	41	28	42
ATAD3C	3981	1	0	1	3	3	1	0	0	0
ATAD3B	7686	226	212	137	30	275	23	137	22	106
ENSG00000284740	740	2	3	1	14	8	17	0	18	4
ATAD3A	3344	210	196	134	36	234	39	121	25	110
TMEM240	2009	0	1	0	0	2	0	0	0	1
SSU72	6919	821	883	375	1647	934	1911	573	1457	423
ENSG00000215014	2349	140	114	69	28	72	39	79	31	59
ENSG00000274481	400	0	0	0	0	0	0	0	0	0
FNDC10	2124	75	105	52	50	157	57	81	49	77
ENSG00000286989	1830	12	19	6	9	20	14	16	12	7
ENSG00000272106	2038	18	24	12	12	53	15	26	6	17
MIB2	8723	62	73	45	113	101	104	71	146	54
MMP23B	2205	0	0	0	0	5	3	0	0	0
CDK11B	3490	1776	1690	1318	588	751	507	1427	380	900
ENSG00000272004	400	12	6	5	30	2	14	4	13	4
SLC35E2B	8462	156	140	122	42	394	60	144	36	132
ENSG00000269737	1819	3	2	1	0	16	0	2	0	2
MMP23A	1017	0	0	0	0	0	0	0	0	0
CDK11A	5085	333	310	193	87	141	57	234	62	182
ENSG00000268575	5079	24	12	13	3	27	4	27	4	20
ENSG00000227775	2759	24	30	12	7	32	5	16	6	17
SLC35E2A	3264	35	28	23	5	58	14	24	10	21
NADK	5570	95	91	78	86	220	108	91	64	66
GNB1	6417	913	737	541	809	1125	898	628	680	536
ENSG00000231050	1369	41	20	10	22	14	30	15	14	11
CALML6	2040	0	1	0	0	0	0	1	0	1
TMEM52	1600	53	60	26	55	39	62	15	58	35
CFAP74	10422	2	4	5	8	7	8	5	8	1
ENSG00000233542	2063	4	2	3	0	2	0	1	2	1
GABRD	5525	87	70	56	31	97	37	54	23	56
ENSG00000226969	538	3	6	2	1	4	6	3	3	5
PRKCZ	7695	108	102	78	93	107	91	53	68	42
ENSG00000271806	4196	1	0	1	0	2	0	1	0	1
PRKCZ-AS1	1734	3	2	6	0	5	1	5	0	2
FAAP20	10916	148	110	84	289	186	444	117	321	73
ENSG00000234396	326	1	1	0	0	0	0	0	0	0
SKI	6550	71	46	54	93	138	140	67	117	50
ENSG00000287356	5794	7	2	2	10	9	14	4	4	2
MORN1	11337	145	129	93	110	70	78	100	67	87
ENSG00000272161	493	1	0	1	0	2	0	2	0	0
ENSG00000269896	2407	3	3	2	1	5	0	1	6	0
ENSG00000272420	568	0	0	0	0	0	0	1	0	0
RER1	5689	1419	1436	589	822	691	952	713	780	631
PEX10	3782	58	53	43	13	134	11	40	18	47
PLCH2	10809	2	0	1	0	1	1	1	0	0
ENSG00000224387	455	0	0	0	0	0	0	0	0	0
ENSG00000229393	514	0	0	0	0	0	0	0	0	0
PANK4	5072	103	96	90	55	416	58	146	74	124
HES5	1324	9	4	0	13	14	13	8	11	3
ENSG00000272449	1531	9	4	4	13	13	28	8	24	4
TNFRSF14-AS1	6137	0	0	0	0	0	2	2	1	0
TNFRSF14	6214	0	1	0	1	0	0	0	3	1
ENSG00000225931	1297	0	0	0	0	0	0	0	0	0
ENSG00000228037	626	0	0	0	0	0	0	0	0	0
ENSG00000289610	449	2	1	1	1	1	2	3	0	1
PRXL2B	3371	52	48	31	28	66	44	46	39	35
MMEL1	3870	0	0	1	0	5	0	2	0	2
MMEL1-AS1	373	0	0	0	1	0	0	0	2	0
TTC34	8814	15	13	6	7	20	1	8	2	8
ENSG00000285945	593	0	0	0	0	1	0	0	0	0
ENSG00000283259	1565	0	0	0	0	0	0	0	0	0
ENSG00000233234	607	0	0	0	0	0	0	0	0	0
ENSG00000287396	663	11	19	4	2	1	0	1	1	4
ENSG00000231630	429	0	0	0	0	0	0	0	0	0
ENSG00000284745	1654	0	0	0	0	0	0	0	0	0
ACTRT2	1437	0	0	0	2	1	1	0	0	0
PRDM16-DT	5827	8	9	2	17	8	7	6	22	4
PRDM16	9767	33	40	28	19	94	16	39	13	20
MIR4251	61	0	0	0	0	0	0	0	0	0
ENSG00000226286	469	0	0	0	2	0	0	0	1	0
ENSG00000279839	2677	0	0	1	0	0	0	0	0	0
ENSG00000272235	3461	0	0	0	0	0	0	0	0	0
ENSG00000287828	728	5	2	0	3	2	9	5	3	2
ENSG00000286518	2784	0	2	0	0	0	0	0	0	0
ARHGEF16	5324	24	34	23	6	40	14	11	6	26
ENSG00000272088	382	0	0	0	0	0	0	0	0	0
MEGF6	9021	13	13	8	9	23	20	8	12	10
MIR551A	96	1	0	0	0	0	0	0	0	0
ENSG00000238260	1930	26	32	13	5	25	2	21	9	19
TPRG1L	2401	55	38	38	218	73	206	62	184	25
WRAP73	7634	232	236	176	118	543	185	194	144	165
TP73	6767	36	53	36	29	87	62	53	29	51
TP73-AS3	754	0	0	0	0	0	0	0	0	1
TP73-AS2	351	0	0	0	0	1	0	0	0	0
TP73-AS1	9701	89	85	52	50	145	48	64	29	58
ENSG00000276189	161	0	0	0	0	0	0	0	0	0
CCDC27	4238	0	0	1	0	3	5	2	0	2
SMIM1	993	43	35	33	266	26	218	47	309	40
LRRC47	4509	152	144	117	286	316	300	194	287	130
RN7SL574P	297	0	0	2	3	1	1	0	3	4
ENSG00000272153	531	1	0	2	0	6	0	1	0	1
CEP104	11885	257	212	123	253	350	196	169	182	122
DFFB	3870	84	72	40	33	89	18	48	24	36
C1orf174	4883	151	135	104	164	320	348	146	238	130
LINC01134	4671	2	0	1	6	3	0	3	9	1
LINC01346	5054	0	0	0	0	0	0	0	0	0
LINC01345	2168	0	0	0	0	0	0	0	0	0
LINC02780	1835	0	0	0	0	0	1	0	0	0
ENSG00000284703	4817	0	0	0	0	0	0	0	0	0
EEF1DP6	372	0	0	0	0	0	0	0	0	0
LINC01777	2574	0	0	0	0	0	0	0	0	0
ENSG00000284694	3402	0	0	0	0	0	0	0	0	0
ENSG00000227169	356	0	0	0	0	0	0	0	0	0
LINC01646	3328	0	0	0	0	0	0	0	0	0
AJAP1	12528	0	0	0	0	0	0	0	0	0
ENSG00000287586	3225	0	0	0	0	0	0	0	0	0
ENSG00000284739	464	0	0	0	0	0	0	0	0	0
LINC02781	1580	0	0	0	0	0	0	0	0	0
LINC02782	449	0	0	0	0	0	0	0	0	0
ENSG00000284616	1225	0	0	0	0	0	0	0	0	0
ENSG00000284692	2316	0	0	0	0	0	0	0	0	0
ENSG00000284666	609	0	0	0	0	0	0	0	0	0
ENSG00000260972	1697	0	0	0	0	0	1	0	0	0
ENSG00000283356	135	0	0	0	0	0	0	0	0	0
ENSG00000236948	1095	0	0	0	0	0	0	0	0	0
ENSG00000264341	73	0	0	0	0	0	0	0	0	0
MIR4689	70	0	0	0	0	0	0	0	0	0
NPHP4	13167	102	98	71	18	158	21	87	10	60
KCNAB2	17362	50	55	30	68	54	69	33	62	28
CHD5	10094	18	15	2	8	26	5	7	8	13
ENSG00000285629	663	2	1	2	2	0	1	2	1	2
RPL22	4665	3460	2981	2077	3197	1246	3070	1950	2539	1315
RNF207-AS1	378	8	11	6	5	2	7	4	9	5
RNF207	6595	52	41	35	21	72	14	37	8	30
ICMT	4910	784	821	702	398	1965	524	909	429	714
LINC00337	2358	67	50	49	116	75	168	44	119	50
HES3	710	0	0	0	0	0	0	0	0	0
GPR153	4198	38	32	21	12	69	15	43	7	36
ACOT7	3500	1154	1370	580	347	1338	387	589	379	506
ENSG00000271746	837	7	5	4	17	1	15	5	15	4
HES2	5407	9	6	8	23	6	15	6	24	4
ESPN	6940	0	0	1	17	3	22	3	10	2
MIR4252	63	0	0	0	0	0	0	0	0	0
ENSG00000231868	351	0	1	0	0	0	0	0	0	0
TNFRSF25	4263	5	9	5	0	22	3	10	0	7
PLEKHG5	6935	38	45	24	25	78	32	28	23	11
NOL9	7271	181	177	144	133	246	163	136	126	100
RNU6-731P	111	0	0	0	0	0	0	0	0	0
ENSG00000229519	401	2	2	0	0	1	0	0	0	0
TAS1R1	2764	7	3	2	0	0	1	2	2	4
ZBTB48	4510	395	318	216	166	395	222	210	166	199
KLHL21	6670	132	99	82	17	208	14	82	14	102
PHF13	3632	153	141	116	201	363	314	160	212	150
THAP3	4067	467	501	213	476	501	646	236	505	221
DNAJC11	12182	259	219	159	196	357	139	210	156	145
LINC01672	2188	0	0	0	0	0	0	0	0	0
ENSG00000284744	987	0	0	0	1	0	0	0	0	0
CAMTA1-DT	415	15	14	9	41	15	76	8	36	9
CAMTA1	9903	1480	1705	508	1366	717	2255	647	1535	449
ENSG00000227950	286	0	0	0	0	0	0	0	0	0
ENSG00000237365	349	0	0	0	0	1	0	0	0	0
RNU1-8P	165	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	365	5	11	10	3	1	4	4	6	4
CAMTA1-AS2	744	0	0	0	0	0	0	0	1	0
CAMTA1-AS1	361	0	0	0	0	2	2	0	1	0
ENSG00000270171	1721	0	0	4	0	6	0	0	0	0
ENSG00000270035	570	2	4	1	1	6	0	1	1	3
ENSG00000269978	267	2	3	1	1	8	1	2	2	3
VAMP3	2733	315	329	220	192	546	358	292	242	207
ENSG00000269925	393	1	3	1	0	2	1	1	0	0
PER3	8128	33	22	18	20	42	41	14	20	17
ENSG00000236266	830	3	1	0	0	3	0	0	0	0
UTS2	1793	2	3	0	2	0	4	1	2	3
TNFRSF9	6354	3	1	3	12	11	11	9	9	4
ENSG00000270330	355	0	0	0	0	0	0	0	0	0
PARK7	2397	5653	7128	1626	1893	1866	2698	1659	2047	1382
Y_RNA	79078	139	107	109	48	155	56	100	39	81
ENSG00000284747	4116	7	7	6	25	13	16	6	13	4
ENSG00000284716	1043	0	0	0	0	0	0	3	0	0
ERRFI1	4179	62	76	51	130	141	167	83	154	71
ENSG00000238290	2044	4	6	3	6	3	1	4	8	3
ENSG00000232848	800	0	0	0	0	0	0	0	0	0
ENSG00000229305	1075	0	0	0	0	0	0	0	0	0
ENSG00000288816	1002	0	0	0	0	0	0	0	0	0
LINC01714	1001	0	0	0	1	0	2	0	1	0
RNU1-7P	164	0	0	0	0	0	0	0	0	0
ENSG00000233645	477	0	0	0	0	0	0	0	0	0
RNU6-991P	107	0	0	0	0	0	0	0	0	0
SLC45A1	2600	3	4	3	3	8	4	3	4	2
RERE	14112	284	282	242	249	725	287	263	233	238
RERE-AS1	1178	0	0	0	2	0	1	0	2	2
ENSG00000221083	125	1	0	0	0	1	0	0	0	0
ENSG00000270282	369	0	0	1	0	0	0	1	0	0
RPL7P11	658	0	0	0	0	0	0	0	0	0
RPL7P7	703	5	2	0	0	2	0	2	0	0
ENSG00000226545	415	0	0	0	0	0	0	0	0	0
ENSG00000228423	353	0	2	0	0	0	0	1	0	0
RPL23AP19	369	0	0	0	1	0	0	0	0	0
ENO1	5216	19386	19959	10130	5297	18604	4533	11040	5194	8473
MIR6728	89	1	0	0	0	0	0	0	0	0
ENO1-AS1	456	33	33	30	20	7	45	27	15	8
RNU6-304P	107	0	0	0	0	0	0	0	0	0
HMGN2P17	743	0	0	0	1	1	0	0	0	0
ENSG00000232208	352	0	0	0	0	0	0	0	0	0
ENSG00000232663	163	0	0	0	0	0	0	0	0	0
CA6	2662	0	0	0	0	0	0	0	0	0
RN7SL451P	299	0	0	0	0	0	0	0	0	0
SLC2A7	1944	7	3	0	3	1	3	4	3	1
SLC2A5	6632	0	1	0	1	1	5	1	4	0
ENSG00000252404	184	0	0	0	0	0	0	0	0	0
GPR157	5304	24	36	27	38	127	37	44	37	39
MIR34AHG	8702	7	4	5	1	12	0	4	2	2
MIR34A	110	0	0	0	0	0	0	0	0	0
LNCTAM34A	2145	18	14	4	7	6	9	11	11	7
H6PD	9322	64	58	53	26	137	18	61	17	34
SPSB1	3389	17	29	9	101	24	100	26	93	11
ENSG00000284652	1765	1	0	0	0	3	0	2	0	0
LINC02606	3456	16	22	9	18	10	26	14	19	14
RNA5SP40	110	0	0	0	0	0	0	0	0	0
ENSG00000235263	708	0	0	0	0	0	0	0	1	0
SLC25A33	3865	25	27	16	110	88	177	34	91	15
ENSG00000231181	559	1	2	2	0	1	0	0	0	8
TMEM201	6981	69	72	62	28	155	53	66	32	46
PIK3CD	6331	63	59	44	42	123	61	65	28	60
PIK3CD-AS1	1823	0	0	0	0	0	0	0	0	0
ENSG00000233268	421	0	0	0	0	0	0	0	0	0
PIK3CD-AS2	978	697	578	430	1899	220	1388	604	1620	414
CLSTN1	5241	295	331	191	317	558	342	256	210	262
MZT1P1	246	0	0	0	0	0	0	0	0	0
ENSG00000280113	1983	0	0	0	0	2	0	0	0	0
CTNNBIP1	3339	44	60	31	49	131	77	53	28	36
ENSG00000223989	424	0	0	0	0	0	0	0	0	0
ENSG00000285701	762	2	1	1	0	1	1	1	0	0
LZIC	5459	371	317	199	506	393	513	305	492	174
ENSG00000228150	440	13	19	9	25	8	31	15	31	16
NMNAT1	4610	126	97	68	132	97	127	72	88	65
RN7SKP269	319	17	11	6	16	7	14	8	34	2
TMEM274P	444	0	0	0	0	1	0	1	0	0
MIR5697	78	0	0	0	0	1	0	1	0	0
ENSG00000241326	436	0	0	0	0	0	0	0	0	0
RBP7	862	2	4	4	7	4	6	5	3	4
UBE4B	9237	173	152	116	74	345	120	145	84	139
ENSG00000224340	337	0	0	0	0	0	0	0	0	0
PGAM1P11	680	1	1	0	0	0	0	2	0	0
RNU6-828P	107	1	0	0	0	0	0	1	0	0
KIF1B	17955	388	377	273	434	670	468	352	390	289
ENSG00000264881	86	0	0	1	0	0	0	0	0	0
RNU6-37P	107	0	0	0	1	1	3	0	0	0
RN7SL731P	293	0	0	0	0	0	0	0	0	0
ENSG00000284735	2381	4	5	1	0	8	1	7	0	3
ENSG00000284642	1477	1	3	0	0	9	0	1	0	0
PGD	3333	845	774	522	467	1352	470	634	398	565
ENSG00000271989	797	10	10	3	21	1	24	5	8	6
CENPS-CORT	2244	58	41	24	36	15	45	30	36	19
CENPS	1748	95	90	52	184	99	309	76	189	52
CORT	914	16	8	9	9	10	6	10	18	4
DFFA	6625	2460	2491	1021	577	1976	674	1094	540	913
ENSG00000203469	467	0	0	0	0	0	0	0	0	0
PEX14	2932	127	121	63	91	164	112	77	95	66
ENSG00000287727	2876	4	2	1	0	0	0	2	0	3
RN7SL614P	280	1	0	0	0	2	0	1	0	0
CASZ1	11336	35	39	26	41	69	32	26	23	16
ENSG00000272078	7923	3	2	1	8	11	13	8	8	0
HSPE1P24	238	0	0	0	0	0	0	0	0	0
C1orf127	3573	2	3	0	2	3	2	0	0	1
CFL1P6	494	0	0	0	0	0	0	1	0	0
TARDBP	6187	946	894	807	610	1421	592	835	499	527
MASP2	4257	5	1	3	2	11	2	3	0	2
SRM	1894	1450	1429	826	1074	1414	1287	934	957	839
EXOSC10	5991	1084	912	635	547	1381	446	761	512	694
ENSG00000226849	2682	0	6	2	0	6	0	0	0	0
EXOSC10-AS1	781	80	82	54	49	24	52	77	58	64
MTOR	12163	631	635	399	361	714	292	498	210	362
MTOR-AS1	763	1	0	1	0	3	0	0	0	3
RNU6-537P	103	0	0	0	0	0	0	0	0	0
ANGPTL7	2224	1	0	0	0	0	0	0	0	0
RNU6-291P	107	0	0	0	0	0	0	0	0	0
RPL39P6	150	0	0	0	0	0	0	0	0	0
UBIAD1	5090	304	282	126	385	331	419	186	387	128
UBE2V2P3	437	0	0	0	4	1	0	1	1	0
ENSG00000284646	742	0	0	1	1	0	0	0	0	0
MTCYBP45	565	0	0	0	0	0	0	0	0	0
DISP3	6120	8	14	8	3	12	2	2	0	4
ENSG00000285833	1051	0	0	0	0	0	0	0	0	0
LINC01647	1351	1	2	0	0	1	0	0	0	0
ENSG00000284708	2094	0	0	0	0	0	0	0	0	0
FBXO2	3163	55	61	44	36	39	63	45	20	38
FBXO44	3527	144	149	100	15	269	35	93	11	106
FBXO6	1735	82	86	28	46	102	73	38	60	29
MAD2L2	3324	2073	2422	707	808	1032	1273	761	1042	663
DRAXIN	7365	7	9	1	16	10	15	6	9	5
AGTRAP	2435	845	992	291	247	573	273	322	216	261
C1orf167	6695	0	1	0	0	2	3	3	0	4
C1orf167-AS1	1868	0	0	0	0	0	0	0	0	0
MTHFR	11513	69	58	40	33	114	40	58	34	47
CLCN6	8173	175	188	113	45	307	44	129	38	95
ENSG00000276470	173	0	0	0	0	0	0	0	0	0
ENSG00000278852	149	0	0	0	0	0	0	0	0	0
NPPA	1120	0	0	0	0	1	0	0	0	1
ENSG00000275915	108	0	0	0	0	0	0	0	0	0
NPPB	708	12	7	3	0	1	4	1	0	2
SBF1P2	2637	0	0	0	0	1	0	0	0	0
ENSG00000285646	3071	48	33	44	87	29	86	48	83	21
RNU5E-1	120	0	0	0	0	0	0	0	0	0
RNU5E-4P	120	0	1	1	0	0	1	0	0	0
KIAA2013	3281	204	205	126	169	280	175	177	119	140
PLOD1	5320	449	365	304	178	643	179	343	134	311
ENSG00000287384	595	6	9	6	5	1	1	5	2	7
MFN2	10234	340	276	207	241	614	312	273	226	263
ENSG00000270914	93	0	0	0	0	0	0	0	0	0
MIIP	2821	346	233	175	102	319	139	202	109	175
MIR6729	65	0	0	0	0	0	0	0	0	0
RN7SL649P	275	0	0	0	0	0	0	0	0	0
TNFRSF8	3812	0	0	0	0	0	0	0	2	0
RNU6-777P	104	0	0	0	0	0	0	0	0	0
RPL23AP89	255	0	0	0	0	0	0	0	0	0
ENSG00000285604	1196	0	0	0	0	0	0	0	0	0
MIR7846	96	0	0	0	0	0	0	0	0	0
TNFRSF1B	3778	0	0	0	0	0	1	0	3	0
MIR4632	61	0	0	0	0	0	0	0	0	0
RPL10P17	316	0	0	0	0	0	0	0	0	0
SNORA70	3338	2	3	2	0	8	1	2	0	4
VPS13D	20768	151	145	88	94	277	121	120	75	103
SNORA59A	152	9	13	5	1	7	1	6	0	3
LINC02766	1963	0	0	0	0	0	0	0	0	0
DHRS3	3515	164	157	116	107	146	96	97	114	89
RNU6ATAC18P	101	0	0	0	0	0	1	0	0	0
MIR6730	67	0	0	0	0	0	0	0	0	0
ENSG00000288927	599	6	8	3	15	6	8	4	6	5
ENSG00000272482	345	1	0	0	0	0	0	1	3	0
AADACL4	2027	0	0	0	0	0	0	0	0	1
ENSG00000226166	112	0	0	0	0	0	0	0	0	0
AADACL3	4055	0	0	0	0	0	0	0	0	0
C1orf158	4133	0	0	0	0	0	0	0	0	0
PRAMEF12	2889	0	0	0	0	0	0	0	0	0
PRAMEF1	2439	0	0	0	0	0	0	0	0	0
LINC01784	378	0	0	0	0	0	0	0	0	0
PRAMEF11	1845	0	0	0	0	0	0	0	0	0
PRAMEF30P	1417	0	0	0	0	0	0	0	0	0
HNRNPCL1	1134	0	1	0	0	0	3	0	0	1
PRAMEF2	1642	0	0	0	0	0	0	0	0	0
PRAMEF4	1840	0	0	0	0	0	0	0	0	0
PRAMEF10	1525	0	0	0	0	0	0	0	0	0
PRAMEF7	1660	0	0	0	0	0	0	0	0	0
RNU6-1072P	107	0	0	0	0	0	0	0	0	0
PRAMEF29P	1139	0	0	0	0	0	0	0	0	0
PRAMEF6	1784	0	0	0	0	0	0	0	0	0
PRAMEF28P	1450	0	0	0	0	0	0	0	0	0
PRAMEF27	1947	0	0	0	0	0	0	0	0	0
HNRNPCL3	1897	1	0	0	0	0	0	0	0	0
PRAMEF25	1918	0	0	0	0	0	0	0	0	0
PRAMEF34P	1447	0	0	0	0	0	0	0	0	0
PRAMEF35P	891	0	0	0	0	0	0	0	0	0
HNRNPCL2	1156	0	0	0	0	0	0	0	0	0
PRAMEF36P	1452	0	0	0	0	0	0	0	0	0
ENSG00000233336	384	0	0	0	0	0	0	0	0	0
PRAMEF26	1909	0	0	0	0	0	0	0	0	0
HNRNPCL4	1718	0	0	0	0	0	0	0	0	0
PRAMEF9	2465	0	0	0	0	0	0	0	0	0
PRAMEF13	2442	0	0	0	0	0	0	0	0	0
PRAMEF18	2067	0	0	0	0	0	0	0	0	0
PRAMEF31P	1371	0	0	0	0	0	0	0	0	0
PRAMEF5	1720	0	0	0	0	0	0	0	0	0
PRAMEF32P	1068	0	0	0	0	0	0	0	0	0
RNU6-771P	107	0	0	0	0	0	0	0	0	0
PRAMEF8	1937	0	0	0	0	0	0	0	0	0
PRAMEF33	1518	0	0	0	0	0	0	0	0	0
PRAMEF15	1865	0	0	0	0	0	0	0	0	0
ENSG00000228229	384	0	0	0	0	0	0	0	0	0
PRAMEF14	2443	0	0	0	0	0	0	0	0	0
PRAMEF19	1440	0	0	0	0	0	0	0	0	0
PRAMEF17	1578	0	0	0	0	0	0	0	0	0
PRAMEF20	1502	0	0	0	0	0	0	0	0	0
LRRC38	2168	0	1	1	2	5	1	2	0	0
ENSG00000259961	477	0	1	0	0	0	0	0	0	0
BRWD1P1	371	0	0	0	0	0	0	0	0	0
PDPN	3707	206	209	137	168	289	208	148	183	111
RNA5SP41	101	0	0	0	0	0	0	0	0	0
ENSG00000237445	379	1	0	0	0	0	0	0	0	0
ENSG00000253085	130	0	0	0	0	0	0	0	0	0
PRDM2	10933	398	378	229	1067	479	644	318	848	249
ENSG00000289380	688	15	7	3	0	0	0	6	0	4
